Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 TCM	CLK1	2	200864658	0.384000	0.318000	0.164017	3.29397E-43	0.623308	0.000312716	2	200451470	200451970	1.335904	2.55363E-06	1.317735	0.00188085	0.999485	SP1(1.00), ZNF148(0.86), KLF16(0.82), 
CD4 TCM	CLK1	2	200864658	0.384000	0.318000	0.164017	3.29397E-43	0.623308	0.000312716	2	200466226	200466726	1.068192	2.60558E-14	1.386734	0.0286472	0.998955	KLF3(1.00), 
CD4 TCM	CST7	20	24949268	0.146000	0.096000	0.139318	3.3478E-36	1.038121	0.000139822	20	24994763	24995263	1.161882	1.14511E-05	1.032377	0.0224044	0.977286	SP1(0.98), PLAGL1(0.98), PATZ1(0.97), ZNF740(0.97), PLAG1(0.94), PURA(0.94), SP2(0.93), KLF2(0.92), 
CD4 TCM	CSTB	21	43776308	0.384000	0.494000	-0.108219	3.49498E-44	-0.293337	0.0203401	21	43703479	43703979	-1.082147	7.26897E-09	-0.814926	0.00663574	0.993677	
CD4 TCM	CSTB	21	43776308	0.384000	0.494000	-0.108219	3.49498E-44	-0.293337	0.0203401	21	43728363	43728863	-0.626424	0.0125372	-0.617562	0.0321234	0.998767	
CD4 TCM	CSTB	21	43776308	0.384000	0.494000	-0.108219	3.49498E-44	-0.293337	0.0203401	21	43864934	43865434	-0.978940	0.0425538	-0.900807	0.014327	0.979593	EGR1(0.91), 
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57085932	57086432	0.300368	0.0462479	1.907098	0.0253722	0.970013	PURA(0.92), ZNF219(0.88), 
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57148621	57149121	0.611673	1.06848E-07	0.505123	0.030256	0.991753	PURA(0.99), KLF3(0.98), ZNF148(0.85), 
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57226776	57227276	0.367760	0.00146009	0.319255	0.00139309	0.997691	PURA(1.00), SP1(1.00), ZNF740(0.99), KLF6(0.99), PLAG1(0.98), PATZ1(0.93), PLAGL1(0.93), SP4(0.92), EGR1(0.92), ZNF148(0.89), 
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57515564	57516064	1.605896	0.00949566	1.632184	0.00334712	0.96977	
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57516116	57516616	1.428522	6.96328E-20	1.149404	0.00215423	1	PATZ1(1.00), SP1(0.99), PLAG1(0.99), KLF16(0.98), ZNF148(0.90), EGR1(0.86), SP2(0.83), 
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57584648	57585148	0.885166	0.00332944	0.689504	0.00153452	0.997545	
CD4 TCM	DDIT3	12	57520517	0.203000	0.115000	0.169655	8.29882E-90	1.294924	0.000805006	12	57941098	57941598	-1.192604	0.000254834	-1.233340	0.00393947	0.952961	SP4(0.99), SP1(0.99), KLF6(0.96), ZNF148(0.88), PURA(0.82), 
CD4 TCM	DEK	6	18264530	0.326000	0.434000	-0.125347	3.28747E-54	-0.358408	0.000117113	6	18327586	18328086	-1.147186	1.03336E-06	-1.315304	0.00685005	0.972161	SP4(0.99), SP6(0.96), KLF7(0.91), 
CD4 TCM	DEK	6	18264530	0.326000	0.434000	-0.125347	3.28747E-54	-0.358408	0.000117113	6	18597357	18597857	-1.446758	0.00326557	-1.964227	0.00120617	0.996399	
CD4 TCM	DNAJA1	9	33025202	0.436000	0.342000	0.253983	7.81355E-98	0.806842	2.36312E-06	9	32860110	32860610	0.839246	5.74961E-09	1.000240	0.0114302	0.977813	
CD4 TCM	DNAJA1	9	33025202	0.436000	0.342000	0.253983	7.81355E-98	0.806842	2.36312E-06	9	33024910	33025410	0.827351	3.29819E-06	0.721148	0.00322872	0.993638	KLF6(1.00), EGR1(0.96), ZNF219(0.96), SP3(0.83), E2F6(0.82), 
CD4 TCM	DNAJB1	19	14529322	0.488000	0.462000	0.129906	1.62447E-17	0.563224	0.0395164	19	14062074	14062574	-1.444137	8.37566E-05	-1.174315	0.00196247	0.985154	ZNF350(1.00), HIC2(0.99), SP1(0.98), KLF6(0.85), ZNF740(0.81), ZNF219(0.81), 
CD4 TCM	DNAJB1	19	14529322	0.488000	0.462000	0.129906	1.62447E-17	0.563224	0.0395164	19	14382833	14383333	-0.299493	0.023689	-0.430029	0.0153522	0.997232	SP6(1.00), SP1(0.98), ARNT2(0.95), EGR1(0.95), 
CD4 TCM	DNAJB1	19	14529322	0.488000	0.462000	0.129906	1.62447E-17	0.563224	0.0395164	19	14571208	14571708	1.948219	0.00924248	1.262559	0.0467121	0.98934	HIC2(0.85), 
CD4 TCM	DNAJB1	19	14529322	0.488000	0.462000	0.129906	1.62447E-17	0.563224	0.0395164	19	14795301	14795801	0.561567	3.25797E-05	0.510586	0.000435794	0.997462	SP1(0.95), 
CD4 TCM	DNAJB1	19	14529322	0.488000	0.462000	0.129906	1.62447E-17	0.563224	0.0395164	19	14885056	14885556	0.438125	0.0266935	0.471521	0.00214312	0.996485	ZNF350(0.97), 
CD4 TCM	DSTN	20	17570074	0.331000	0.430000	-0.102381	1.7103E-40	-0.386217	0.0115177	20	17622748	17623248	1.306289	0.0363607	1.237453	0.00882348	0.954022	
CD4 TCM	DUSP1	5	172771195	0.861000	0.607000	0.826371	0	1.558999	0.000206389	5	172958348	172958848	2.455170	0.00203035	2.319703	0.000186258	0.999599	PLAG1(0.99), KLF16(0.97), SP1(0.93), EGR1(0.92), SP2(0.83), 
CD4 TCM	DUSP1	5	172771195	0.861000	0.607000	0.826371	0	1.558999	0.000206389	5	172978679	172979179	0.935972	0.01143	1.934159	0.000485227	0.993027	ZFY(0.91), 
CD4 TCM	DUSP1	5	172771195	0.861000	0.607000	0.826371	0	1.558999	0.000206389	5	172983486	172983986	1.682482	0.0126141	1.697489	7.73153E-05	0.953326	KLF6(0.95), PURA(0.94), SP1(0.86), ZNF148(0.86), 
CD4 TCM	DUSP2	2	96145440	0.329000	0.274000	0.152676	5.09574E-25	1.147928	0.0269735	2	96396521	96397021	-1.849574	3.25754E-05	-0.793102	0.000113904	0.982228	ARNT2(0.99), SP3(0.95), KLF3(0.89), KLF16(0.85), 
CD4 TCM	DUSP2	2	96145440	0.329000	0.274000	0.152676	5.09574E-25	1.147928	0.0269735	2	96532542	96533042	-1.716749	0.0199217	-1.278136	0.00421425	0.959022	
CD4 TCM	DUSP2	2	96145440	0.329000	0.274000	0.152676	5.09574E-25	1.147928	0.0269735	2	96552750	96553250	-1.266634	1.73432E-05	-1.605335	0.00135896	0.998121	SP3(0.99), KLF3(0.96), SP1(0.90), 
CD4 TCM	DUSP2	2	96145440	0.329000	0.274000	0.152676	5.09574E-25	1.147928	0.0269735	2	96553674	96554174	-1.190094	3.21348E-12	-1.462594	1.53785E-06	0.969854	PATZ1(0.98), PLAG1(0.96), EGR1(0.92), ZFY(0.86), 
CD4 TCM	EIF1	17	41688884	0.999000	1.000000	0.418333	0	0.603463	0.00107636	17	41307111	41307611	-1.653107	0.00211806	-1.757014	0.00564316	0.981001	
CD4 TCM	EIF1	17	41688884	0.999000	1.000000	0.418333	0	0.603463	0.00107636	17	41327680	41328180	-2.852769	0.00576811	-1.505853	0.00593606	0.997553	KLF6(1.00), ZNF350(1.00), SP1(0.99), SP3(0.96), SP6(0.87), 
CD4 TCM	EIF1	17	41688884	0.999000	1.000000	0.418333	0	0.603463	0.00107636	17	41486713	41487213	-1.446442	0.00267349	-1.005663	0.000154845	0.984491	
CD4 TCM	EIF1	17	41688884	0.999000	1.000000	0.418333	0	0.603463	0.00107636	17	41753999	41754499	-0.840245	4.34251E-07	-0.556360	0.0127639	0.999374	KLF6(0.98), SP1(0.96), ZNF350(0.92), ZNF740(0.88), 
CD4 TCM	EIF4A1	17	7572824	0.401000	0.343000	0.170860	1.27591E-40	0.865421	4.64699E-05	17	7584186	7584686	-0.574819	0.0260489	-0.544831	0.0104083	0.983118	
CD4 TCM	EMP3	19	48325551	0.817000	0.853000	-0.125294	3.7322E-46	-0.558303	0.000137354	19	48424678	48425178	-0.365371	0.000121325	-0.390307	0.0147162	0.996888	KLF6(0.91), ZNF148(0.83), 
CD4 TCM	EMP3	19	48325551	0.817000	0.853000	-0.125294	3.7322E-46	-0.558303	0.000137354	19	48444009	48444509	1.412391	0.0410392	1.497946	0.0122156	0.986365	EGR1(1.00), KLF6(0.99), ZNF148(0.91), ZNF350(0.87), 
CD4 TCM	EMP3	19	48325551	0.817000	0.853000	-0.125294	3.7322E-46	-0.558303	0.000137354	19	48560240	48560740	1.454301	0.030926	1.968366	0.00943832	0.994554	PLAGL1(0.96), 
CD4 TCM	EMP3	19	48325551	0.817000	0.853000	-0.125294	3.7322E-46	-0.558303	0.000137354	19	48617354	48617854	-1.558395	0.0301087	-1.363451	0.031277	0.994926	
CD4 TCM	EPC1	10	32378769	0.501000	0.490000	0.108110	3.92206E-11	0.376899	0.000304778	10	32319121	32319621	-0.515581	0.00215726	-0.406126	0.00201194	0.998497	
CD4 TCM	ETF1	5	138543236	0.195000	0.134000	0.104412	7.62128E-40	1.049990	5.95813E-05	5	138558693	138559193	-0.796563	1.1914E-05	-0.589673	0.0234131	0.970967	
CD4 TCM	ETF1	5	138543236	0.195000	0.134000	0.104412	7.62128E-40	1.049990	5.95813E-05	5	138742386	138742886	-0.418598	0.00295392	-0.514261	0.0378212	0.99147	
CD4 TCM	ETS1	11	128587558	0.533000	0.692000	-0.278754	7.79519E-141	-0.411110	0.0322353	11	128773430	128773930	2.264342	0.0126163	1.524679	0.00148152	0.962004	
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206556084	206556584	1.810105	0.000112989	1.672728	7.05487E-05	0.998856	KLF6(1.00), 
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206578231	206578731	1.846158	6.03913E-08	1.776437	0.0127952	0.984627	
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206578743	206579243	2.440676	0.00661234	1.422914	0.0218133	0.991822	
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206579852	206580352	1.014005	1.00772E-17	1.008764	0.000443592	0.987968	PURA(0.98), 
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206580369	206580869	1.528990	2.93824E-16	1.412219	0.000153955	0.983402	
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206583010	206583510	1.260229	0.0231214	1.886402	0.00233768	0.999137	EGR1(1.00), ZNF148(0.95), PATZ1(0.94), SP3(0.83), 
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206589087	206589587	2.569512	0.0392551	1.406469	0.00358466	0.95761	EGR1(0.83), 
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206590015	206590515	1.480346	1.70074E-22	1.409750	0.000636607	0.999484	
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	206703611	206704111	0.846442	0.0112425	0.856207	0.0332331	0.981275	SP1(0.96), ZNF148(0.95), 
CD4 TCM	FCMR	1	206921941	0.166000	0.248000	-0.102042	2.33785E-52	-0.544164	0.0013486	1	207336682	207337182	1.216845	0.000250977	1.982932	0.000738903	0.97331	
CD4 TCM	FMNL1	17	45221884	0.314000	0.453000	-0.178848	3.84962E-100	-0.437777	0.00168789	17	45150026	45150526	-0.864010	9.79057E-08	-0.538142	0.00535519	0.987656	PATZ1(1.00), PLAG1(0.95), ZNF350(0.92), SP1(0.90), 
CD4 TCM	FOS	14	75278827	0.909000	0.535000	1.599447	0	2.713230	2.37757E-06	14	75524922	75525422	-0.458088	1.48939E-10	-0.473630	3.43052E-06	1	ZNF148(0.97), PURA(0.93), ZNF740(0.83), 
CD4 TCM	FOS	14	75278827	0.909000	0.535000	1.599447	0	2.713230	2.37757E-06	14	75525940	75526440	-0.448234	6.56297E-07	-0.554493	7.47307E-05	0.999996	
CD4 TCM	FOS	14	75278827	0.909000	0.535000	1.599447	0	2.713230	2.37757E-06	14	75526821	75527321	-0.954843	5.88965E-12	-1.243944	0.000161381	1	
CD4 TCM	FOS	14	75278827	0.909000	0.535000	1.599447	0	2.713230	2.37757E-06	14	75533269	75533769	-0.311081	0.0214874	-0.372989	0.000377737	0.999974	SP1(0.97), ZNF350(0.91), SP2(0.82), 
CD4 TCM	FOSB	19	45467995	0.643000	0.292000	1.043893	0	2.472502	2.06962E-06	19	45235409	45235909	1.738456	0.00246473	1.079482	0.0213946	0.978327	PATZ1(0.96), SP1(0.93), PURA(0.90), 
CD4 TCM	FOSB	19	45467995	0.643000	0.292000	1.043893	0	2.472502	2.06962E-06	19	45284117	45284617	0.765882	0.0211098	1.288579	0.00584858	0.998635	HIC2(1.00), SP6(0.91), 
CD4 TCM	FOSB	19	45467995	0.643000	0.292000	1.043893	0	2.472502	2.06962E-06	19	45467457	45467957	-1.121733	0.00022082	-0.753734	0.0134249	0.999862	PATZ1(0.94), SP1(0.93), PURA(0.93), 
CD4 TCM	FTH1	11	61967634	1.000000	0.999000	0.325613	1.26548E-242	0.525458	0.0150327	11	61495085	61495585	0.487996	0.0045224	0.505396	0.0416646	0.988895	KLF16(1.00), KLF2(0.98), ZNF740(0.95), 
CD4 TCM	G3BP2	4	75673483	0.436000	0.356000	0.250679	2.83652E-78	0.887250	0.000185916	4	76002142	76002642	1.163799	0.023602	1.329020	0.0266163	0.99366	
CD4 TCM	GADD45B	19	2476126	0.634000	0.282000	1.032039	0	2.016625	1.61439E-10	19	2431565	2432065	0.956366	5.40869E-06	0.716967	0.0185237	0.992676	KLF6(0.99), PATZ1(0.99), EGR1(0.96), 
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150404086	150404586	-0.402476	0.0136705	-0.409672	0.00626302	0.972951	ZFY(0.97), KLF7(0.95), 
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150586780	150587280	-0.353658	0.00452656	-0.577877	0.0127897	0.990507	
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150668337	150668837	2.661855	0.00234734	2.328287	7.43407E-05	0.995802	PURA(0.92), 
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150668872	150669372	2.251293	1.13876E-05	2.478598	5.36196E-05	0.999979	
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150676259	150676759	2.008520	0.00301061	2.125024	5.94799E-12	0.999923	EGR1(0.98), ZNF148(0.89), 
CD4 TCM	GIMAP4	7	150567369	0.269000	0.464000	-0.346981	6.86948E-239	-1.076179	0.00758551	7	150676855	150677355	4.002027	0.000266469	2.408930	4.72903E-12	0.996105	PATZ1(0.99), SP1(0.89), 
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150404086	150404586	-0.402476	0.0136705	-0.409672	0.00626302	0.959802	ZFY(0.97), KLF7(0.95), 
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150586780	150587280	-0.353658	0.00452656	-0.577877	0.0127897	0.969808	
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150668337	150668837	2.661855	0.00234734	2.328287	7.43407E-05	0.985905	PURA(0.92), 
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150668872	150669372	2.251293	1.13876E-05	2.478598	5.36196E-05	0.999675	
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150676259	150676759	2.008520	0.00301061	2.125024	5.94799E-12	0.999425	EGR1(0.98), ZNF148(0.89), 
CD4 TCM	GIMAP7	7	150514871	0.494000	0.615000	-0.223160	2.01145E-80	-0.653767	0.0237216	7	150676855	150677355	4.002027	0.000266469	2.408930	4.72903E-12	0.987178	PATZ1(0.99), SP1(0.89), 
CD4 TCM	GLG1	16	74607114	0.197000	0.289000	-0.100934	3.5263E-54	-0.418973	9.06794E-05	16	74589428	74589928	-0.663683	0.000873142	-0.488699	0.000229855	0.999926	
CD4 TCM	GLG1	16	74607114	0.197000	0.289000	-0.100934	3.5263E-54	-0.418973	9.06794E-05	16	74595337	74595837	-1.280644	3.59138E-05	-0.865717	0.00100677	0.992797	ARNT2(0.88), 
CD4 TCM	GSPT1	16	11916654	0.331000	0.298000	0.118099	7.4523E-14	0.623464	0.00189895	16	11420735	11421235	1.109236	3.50586E-11	0.828996	0.011863	0.977104	SP1(1.00), KLF2(0.97), PLAGL1(0.96), PATZ1(0.96), PLAG1(0.93), 
CD4 TCM	GSPT1	16	11916654	0.331000	0.298000	0.118099	7.4523E-14	0.623464	0.00189895	16	11536077	11536577	0.714643	8.28917E-06	0.757572	0.000336801	0.999991	KLF3(1.00), KLF2(0.99), ZNF740(0.97), SP3(0.93), ZNF148(0.87), KLF7(0.86), 
CD4 TCM	GSPT1	16	11916654	0.331000	0.298000	0.118099	7.4523E-14	0.623464	0.00189895	16	11669534	11670034	1.695177	0.00269778	1.699999	0.00322223	0.999926	ZNF350(1.00), EGR1(1.00), HIC2(0.99), SP3(0.97), ZNF740(0.91), ZNF148(0.91), SP1(0.90), 
CD4 TCM	GSPT1	16	11916654	0.331000	0.298000	0.118099	7.4523E-14	0.623464	0.00189895	16	11964787	11965287	1.205872	0.00062383	1.142700	0.00110786	0.998167	KLF16(0.99), KLF6(0.94), 
CD4 TCM	GZMK	5	55024255	0.111000	0.048000	0.235072	2.29869E-80	1.554315	0.000358626	5	55223259	55223759	-0.468908	0.00475258	-0.434121	0.00211187	0.999883	SP1(0.98), SP2(0.96), ZNF148(0.95), KLF3(0.92), ZNF740(0.92), E2F6(0.89), SP3(0.84), 
CD4 TCM	GZMK	5	55024255	0.111000	0.048000	0.235072	2.29869E-80	1.554315	0.000358626	5	55231442	55231942	1.083234	0.0110855	1.807278	0.00731874	0.976097	ZNF148(0.99), PURA(0.96), ARNT2(0.92), SP1(0.92), SP3(0.90), ZFY(0.84), ZNF281(0.82), 
CD4 TCM	HAUS3	4	2242121	0.215000	0.161000	0.103435	6.88481E-29	0.876123	5.79134E-05	4	1755793	1756293	-0.687029	0.0289777	-0.486002	0.0176682	0.996146	KLF3(0.95), SP2(0.85), PLAG1(0.84), TFAP2C(0.82), 
CD4 TCM	HAUS3	4	2242121	0.215000	0.161000	0.103435	6.88481E-29	0.876123	5.79134E-05	4	1855392	1855892	-0.317968	0.0216353	-0.649586	0.00116998	0.997749	SP6(1.00), EGR1(0.97), PLAGL1(0.96), HIC2(0.81), PURA(0.80), 
CD4 TCM	HAUS3	4	2242121	0.215000	0.161000	0.103435	6.88481E-29	0.876123	5.79134E-05	4	1871633	1872133	-0.834651	0.0153915	-1.756435	0.00099903	0.960339	EGR1(0.94), ARNT2(0.92), KLF6(0.90), SP1(0.83), SP3(0.82), 
CD4 TCM	HAUS3	4	2242121	0.215000	0.161000	0.103435	6.88481E-29	0.876123	5.79134E-05	4	2395582	2396082	-0.612896	0.0162854	-0.426037	0.0401616	0.999999	
CD4 TCM	HAUS3	4	2242121	0.215000	0.161000	0.103435	6.88481E-29	0.876123	5.79134E-05	4	2418611	2419111	-1.135664	2.34187E-07	-0.261524	0.018283	0.999913	SP1(1.00), KLF6(1.00), ZNF350(0.99), EGR1(0.99), ZNF148(0.99), PURA(0.96), SP6(0.93), 
CD4 TCM	HIPK1	1	113929323	0.195000	0.147000	0.106098	8.45341E-26	0.760421	6.03921E-05	1	113868324	113868824	2.170687	7.53811E-06	2.772445	0.000102946	0.999929	
CD4 TCM	HIPK1	1	113929323	0.195000	0.147000	0.106098	8.45341E-26	0.760421	6.03921E-05	1	113871509	113872009	0.601800	0.000183804	0.361555	0.00573426	0.991779	ZNF148(0.88), 
CD4 TCM	HIPK1	1	113929323	0.195000	0.147000	0.106098	8.45341E-26	0.760421	6.03921E-05	1	113930002	113930502	1.196019	1.30755E-31	1.007035	7.55371E-05	0.999949	KLF3(1.00), ZNF740(1.00), ARNT2(0.99), SP3(0.95), ZNF148(0.91), SP6(0.89), 
CD4 TCM	HIPK1	1	113929323	0.195000	0.147000	0.106098	8.45341E-26	0.760421	6.03921E-05	1	113930682	113931182	1.437904	9.2034E-22	0.896723	0.00970457	0.999954	SP1(1.00), ZNF740(0.99), PATZ1(0.89), 
CD4 TCM	HIPK1	1	113929323	0.195000	0.147000	0.106098	8.45341E-26	0.760421	6.03921E-05	1	113931214	113931714	0.354738	0.016883	0.559498	0.0410901	0.998706	
CD4 TCM	HMGB2	4	173334358	0.388000	0.488000	-0.106800	1.26535E-40	-0.255805	0.00819869	4	173168489	173168989	-0.525698	0.000256387	-0.289558	0.0161089	0.9927	PLAG1(0.94), SP1(0.92), ZNF148(0.85), 
CD4 TCM	HNRNPF	10	43409248	0.414000	0.521000	-0.116066	2.14963E-43	-0.388130	0.0452423	10	43064938	43065438	-2.932263	1.04838E-14	-1.758782	0.00152914	0.993941	PLAGL1(1.00), SP1(0.98), ZNF350(0.91), ZNF148(0.87), 
CD4 TCM	HNRNPF	10	43409248	0.414000	0.521000	-0.116066	2.14963E-43	-0.388130	0.0452423	10	43404533	43405033	1.393251	5.80252E-09	1.157440	0.0105717	0.967967	PURA(1.00), 
CD4 TCM	HNRNPF	10	43409248	0.414000	0.521000	-0.116066	2.14963E-43	-0.388130	0.0452423	10	43417904	43418404	0.410302	0.0184956	0.288530	0.00159341	0.986481	PURA(0.97), ZNF148(0.95), ZNF740(0.81), 
CD4 TCM	HP1BP3	1	20787307	0.295000	0.410000	-0.136297	1.44719E-66	-0.456880	3.20085E-07	1	20485402	20485902	-1.107613	0.00298438	-1.108449	0.0101348	0.984311	EGR1(0.98), PLAG1(0.98), KLF6(0.89), 
CD4 TCM	HP1BP3	1	20787307	0.295000	0.410000	-0.136297	1.44719E-66	-0.456880	3.20085E-07	1	20486060	20486560	-0.557659	0.00183731	-0.547152	0.00821238	0.98938	ZNF350(0.89), SP4(0.87), KLF6(0.81), 
CD4 TCM	HSP90AA1	14	102139749	0.943000	0.874000	0.174913	3.83563E-67	0.419380	0.00969479	14	101711551	101712051	-1.040981	0.000146329	-0.849625	0.000703963	0.996052	SP1(0.98), PLAG1(0.96), KLF16(0.95), PATZ1(0.94), ARNT2(0.93), PURA(0.92), KLF2(0.83), ZNF148(0.82), 
CD4 TCM	HSP90AA1	14	102139749	0.943000	0.874000	0.174913	3.83563E-67	0.419380	0.00969479	14	101938272	101938772	1.059185	2.23263E-05	1.503331	0.00545868	0.999844	SP1(0.98), ARNT2(0.96), PURA(0.89), 
CD4 TCM	HSP90AA1	14	102139749	0.943000	0.874000	0.174913	3.83563E-67	0.419380	0.00969479	14	101944720	101945220	0.516269	5.83126E-05	0.576619	0.0148862	0.99948	ZFY(0.98), 
CD4 TCM	HSP90AA1	14	102139749	0.943000	0.874000	0.174913	3.83563E-67	0.419380	0.00969479	14	101945274	101945774	0.745168	0.0321692	0.720482	0.0233432	0.975194	PLAGL1(0.93), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43791707	43792207	0.774274	3.17425E-17	0.541396	0.0010081	0.999396	ARNT2(0.97), PLAGL1(0.94), PURA(0.88), ZNF281(0.85), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43796802	43797302	0.641273	0.00221014	0.921566	0.000686227	0.998538	PLAGL1(0.99), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43801722	43802222	1.473645	0.0176375	2.314623	0.000708529	0.997072	SP2(0.93), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43813118	43813618	1.662365	2.83289E-83	1.373066	1.75608E-05	0.999562	SP1(1.00), EGR1(1.00), ZNF148(0.95), SP3(0.94), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43813644	43814144	1.090024	2.32553E-35	0.867920	0.000126104	0.999901	PURA(0.96), PATZ1(0.95), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43817109	43817609	1.274214	9.25252E-12	1.066153	0.000219067	0.999637	SP1(1.00), ZNF148(0.94), PLAGL1(0.90), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43818217	43818717	0.706236	3.86401E-17	0.423468	0.00991373	0.997805	PURA(0.88), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43867270	43867770	1.200509	0.0106351	1.332058	0.0212172	0.975223	PLAG1(1.00), ARNT2(0.81), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43881847	43882347	1.922946	0.00150638	1.834787	0.00166611	0.999467	SP1(0.90), KLF3(0.83), 
CD4 TCM	HSP90AB1	6	44246165	0.818000	0.773000	0.263188	4.63014E-114	0.457808	2.19307E-05	6	43978403	43978903	1.176488	2.66427E-07	0.650049	0.00351884	0.981159	
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125088202	125088702	2.283262	6.28888E-21	1.876812	0.0133695	0.996589	SP1(1.00), 
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125119858	125120358	2.766604	0.00261827	2.643027	8.90684E-09	0.996479	
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125126057	125126557	2.176967	0.0395251	1.656663	0.00368668	0.979471	KLF16(0.87), KLF3(0.85), 
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125142358	125142858	1.779066	4.55491E-06	1.454014	0.00562484	0.985496	
CD4 TCM	HSPA5	9	125241343	0.530000	0.435000	0.325333	3.02572E-132	0.972145	4.98736E-08	9	125143349	125143849	3.928815	0.00626385	1.893822	1.46552E-11	0.989922	EGR1(0.98), SP1(0.98), KLF6(0.96), PURA(0.94), ZNF148(0.91), 
